Accion,Tipo,Estado,Cantidad,Precio unidad,Inversion,Comision,Total,Fecha
ECOPETROL,Compra,Aprobada,58,2.425,140.650,14.875,155.525,07 mar 2026 20:47
ECOPETROL,Compra,Aprobada,14,2.675,37.450,14.875,52.325,17 mar 2026 09:46
ECOPETROL,Compra,Aprobada,85,2.535,215.475,14.875,230.350,14 mar 2026 18:46
ECOPETROL,Compra,Aprobada,2.100,2.730,5.733.000,"17.055,67","5.750.055,67",23 mar 2026 09:17
ECOPETROL,Compra,Aprobada,200,2.480,496.000,"7.437,5","503.437,5",16 abr 2026 13:31
ECOPETROL,Venta,Aprobada,800,2.445,1.956.000,"7.437,5","1.948.562,5",14 abr 2026 10:22
ECOPETROL,Venta,Aprobada,757,2.415,1.828.155,"7.437,5","1.820.717,5",14 abr 2026 15:04
MINEROS,Compra,Aprobada,123,14.620,1.798.260,"7.437,5","1.805.697,5",14 abr 2026 10:23
NUCO,Compra,Aprobada,4,53.740,214.960,14.875,229.835,24 mar 2026 08:47
PFCIBEST,Compra,Aprobada,3,64.980,194.940,14.875,209.815,10 mar 2026 12:43
PFCIBEST,Compra,Aprobada,3,63.640,190.920,14.875,205.795,17 mar 2026 09:45
PFCIBEST,Compra,Aprobada,20,67.600,1.352.000,7.437,1.359.437,18 abr 2026 00:00
PFCIBEST,Dividendo,Aprobada,6,1.128,6.768,238,6.530,01 abr 2026 00:00
MINEROS,Dividendo,Aprobada,123,89.015447,10948.9,238,10710.9,27 abr 2026 00:00
ECOPETROL,Dividendo,Aprobada,900,121,108.900,"1.324,91","107.575,09",30 abr 2026 00:00
IBITCO,Compra,Aprobada,1,174.960,174.960,"7.437,5","182.397,5",09 may 2026 07:41
PARAUCOCO,Compra,Cancelada,8,17.200,0,0,0,14 abr 2026 10:36
PFCIBEST,Compra,Cancelada,4,61.140,0,0,0,14 mar 2026 18:47
